ranking;project;language;stars;stars_today;forks
MobileSAM;Jupyter Notebook;923;1,900;472
mpt-30B-inference;Python;90;312;125
Block-Pornographic-Replies;JavaScript;107;450;106
open-source-course;;275;483;173
PowerShell;C#;143;39,079;6,965
DragGAN;Python;777;28,014;2,944
folly;C++;73;25,494;5,262
Tkinter-Designer;Python;217;6,347;615
papers-we-love;Shell;161;74,594;5,545
LLMs-In-China;;151;664;81
project-based-learning;;333;108,389;15,136
copilot-analysis;JavaScript;131;711;56
eShopOnContainers;C#;32;23,658;10,113
free-programming-books;;286;285,074;55,927
chinese-poetry;JavaScript;68;43,530;8,807
telegram-groups;Python;124;1,676;117
questdb;Java;12;11,731;800
unidbg-fetch-qsign;Kotlin;64;382;94
composer;Python;139;4,061;288
DataX;Java;10;13,714;4,873
AFFiNE;TypeScript;294;17,817;914
aigc;Rust;40;241;22
background-removal-js;TypeScript;413;1,455;41
sourcegraph;Go;47;8,183;988
vue3-antd-admin;Vue;5;2,581;662
